Command line
python train.py --data_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_train.csv --dataset_type classification --num_workers 2 --save_dir ../pipeline/marketdrug/normal_active_intrial_allainvivo_nopretrain_firsttrain_05-10 --epochs 50 --features_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_train_rdkit_2d_normalized.npy --separate_test_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_test.csv --separate_test_features_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_test_rdkit_2d_normalized.npy --no_features_scaling --metric auc --init_lr 1e-3 --max_lr 1e-3 --final_lr 1e-3 --s ../pipeline/marketdrug/test_active_intrial_allainvivo_11-24_nopretrain_firsttrain_05-10_s --mode active --depth 2 --hidden_size 300 --ffn_num_layer 2 --batch_size 500 --smiles_column smiles --target_columns label --fold 0 --round 0
iteration 0
Class sizes
label 0: 65.62%, 1: 34.38%
Building model 0
DMPNN(
  (sigmoid): Sigmoid()
  (encoder): MPNEncoder(
    (dropout_layer): Dropout(p=0.0, inplace=False)
    (act_func): ReLU()
    (W_i): Linear(in_features=147, out_features=300, bias=False)
    (W_h): Linear(in_features=300, out_features=300, bias=False)
    (W_o): Linear(in_features=433, out_features=300, bias=True)
  )
  (ffn): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=500, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 414,901
Moving model to cuda
Epoch 0
Loss = 7.1740e-01, PNorm = 35.1219, GNorm = 1.2712, lr_0 = 1.0000e-03
Loss = 4.9549e-01, PNorm = 37.9944, GNorm = 0.4439, lr_0 = 1.0000e-03
Loss = 4.1400e-01, PNorm = 40.8816, GNorm = 0.2397, lr_0 = 1.0000e-03
Loss = 4.5798e-01, PNorm = 40.9037, GNorm = 0.2975, lr_0 = 1.0000e-03
Loss = 4.8607e-01, PNorm = 38.0132, GNorm = 0.8873, lr_0 = 1.0000e-03
Loss = 4.1272e-01, PNorm = 40.9252, GNorm = 0.2355, lr_0 = 1.0000e-03
Loss = 4.8249e-01, PNorm = 38.0323, GNorm = 0.3478, lr_0 = 1.0000e-03
Loss = 4.9342e-01, PNorm = 40.9441, GNorm = 0.5154, lr_0 = 1.0000e-03
Loss = 4.5324e-01, PNorm = 38.0513, GNorm = 0.1816, lr_0 = 1.0000e-03
Loss = 4.0026e-01, PNorm = 40.9647, GNorm = 0.3343, lr_0 = 1.0000e-03
Loss = 4.6113e-01, PNorm = 38.0707, GNorm = 0.1896, lr_0 = 1.0000e-03
Loss = 3.8327e-01, PNorm = 40.9867, GNorm = 0.3720, lr_0 = 1.0000e-03
Loss = 4.5633e-01, PNorm = 38.0899, GNorm = 0.2445, lr_0 = 1.0000e-03
Loss = 4.2588e-01, PNorm = 41.0083, GNorm = 0.2380, lr_0 = 1.0000e-03
Loss = 4.6081e-01, PNorm = 38.1097, GNorm = 0.1681, lr_0 = 1.0000e-03
Loss = 4.5876e-01, PNorm = 41.0291, GNorm = 0.2484, lr_0 = 1.0000e-03
Loss = 4.4640e-01, PNorm = 38.1293, GNorm = 0.2895, lr_0 = 1.0000e-03
Loss = 4.0266e-01, PNorm = 41.0501, GNorm = 0.2731, lr_0 = 1.0000e-03
Loss = 4.7130e-01, PNorm = 38.1475, GNorm = 0.2321, lr_0 = 1.0000e-03
Loss = 3.9396e-01, PNorm = 41.0715, GNorm = 0.2084, lr_0 = 1.0000e-03
Loss = 4.5756e-01, PNorm = 38.1657, GNorm = 0.2662, lr_0 = 1.0000e-03
Loss = 3.8534e-01, PNorm = 41.0917, GNorm = 0.2834, lr_0 = 1.0000e-03
Loss = 4.9300e-01, PNorm = 38.1838, GNorm = 0.2311, lr_0 = 1.0000e-03
Loss = 4.5063e-01, PNorm = 41.1134, GNorm = 0.3032, lr_0 = 1.0000e-03
Loss = 4.9171e-01, PNorm = 38.2030, GNorm = 0.5612, lr_0 = 1.0000e-03
Loss = 4.7546e-01, PNorm = 41.1353, GNorm = 1.0827, lr_0 = 1.0000e-03
Loss = 4.6325e-01, PNorm = 38.2230, GNorm = 0.4152, lr_0 = 1.0000e-03
Loss = 4.7739e-01, PNorm = 38.2437, GNorm = 0.3276, lr_0 = 1.0000e-03
Loss = 5.0000e-01, PNorm = 38.2642, GNorm = 0.4796, lr_0 = 1.0000e-03
Loss = 4.4567e-01, PNorm = 38.2846, GNorm = 0.3713, lr_0 = 1.0000e-03
Loss = 4.4263e-01, PNorm = 38.3047, GNorm = 0.5787, lr_0 = 1.0000e-03
Loss = 4.6209e-01, PNorm = 38.3245, GNorm = 0.2513, lr_0 = 1.0000e-03
Loss = 5.1754e-01, PNorm = 38.3445, GNorm = 0.1866, lr_0 = 1.0000e-03
Loss = 4.7571e-01, PNorm = 38.3638, GNorm = 0.2438, lr_0 = 1.0000e-03
Loss = 4.5190e-01, PNorm = 38.3824, GNorm = 0.2351, lr_0 = 1.0000e-03
Loss = 4.6443e-01, PNorm = 38.4015, GNorm = 0.2453, lr_0 = 1.0000e-03
Loss = 4.9627e-01, PNorm = 38.4205, GNorm = 0.2639, lr_0 = 1.0000e-03
Loss = 4.5706e-01, PNorm = 38.4399, GNorm = 0.3361, lr_0 = 1.0000e-03
Loss = 4.7305e-01, PNorm = 38.4599, GNorm = 0.2709, lr_0 = 1.0000e-03
Loss = 4.8226e-01, PNorm = 38.4790, GNorm = 0.3328, lr_0 = 1.0000e-03
Loss = 4.7283e-01, PNorm = 38.4996, GNorm = 0.3922, lr_0 = 1.0000e-03
Loss = 4.6951e-01, PNorm = 38.5185, GNorm = 0.5032, lr_0 = 1.0000e-03
Loss = 4.9555e-01, PNorm = 38.5359, GNorm = 0.5296, lr_0 = 1.0000e-03
Loss = 4.4273e-01, PNorm = 38.5544, GNorm = 0.1800, lr_0 = 1.0000e-03
Loss = 4.8206e-01, PNorm = 38.5715, GNorm = 0.6269, lr_0 = 1.0000e-03
Loss = 4.8168e-01, PNorm = 38.5881, GNorm = 0.3813, lr_0 = 1.0000e-03
Loss = 4.5171e-01, PNorm = 38.6052, GNorm = 0.2182, lr_0 = 1.0000e-03
Loss = 4.7528e-01, PNorm = 38.6218, GNorm = 0.1884, lr_0 = 1.0000e-03
Validation auc = 0.792551
round 0 best train auc = 0.804003 on epoch 3
round 0 best validation auc = 0.792551 on epoch 3
Epoch 4
Loss = 5.1092e-01, PNorm = 36.5299, GNorm = 0.3884, lr_0 = 1.0000e-03
Loss = 4.5899e-01, PNorm = 38.6373, GNorm = 0.4929, lr_0 = 1.0000e-03
Loss = 4.9365e-01, PNorm = 36.5445, GNorm = 0.3141, lr_0 = 1.0000e-03
Loss = 4.6658e-01, PNorm = 38.6546, GNorm = 0.4469, lr_0 = 1.0000e-03
Loss = 5.0652e-01, PNorm = 38.6732, GNorm = 0.5105, lr_0 = 1.0000e-03
Loss = 5.0192e-01, PNorm = 36.5600, GNorm = 0.1949, lr_0 = 1.0000e-03
Loss = 5.3269e-01, PNorm = 36.5755, GNorm = 0.1220, lr_0 = 1.0000e-03
Loss = 5.0934e-01, PNorm = 36.5905, GNorm = 0.2788, lr_0 = 1.0000e-03
Loss = 5.2417e-01, PNorm = 36.6059, GNorm = 0.2641, lr_0 = 1.0000e-03
Loss = 5.0793e-01, PNorm = 36.6217, GNorm = 0.3931, lr_0 = 1.0000e-03
Loss = 5.2816e-01, PNorm = 36.6372, GNorm = 0.2182, lr_0 = 1.0000e-03
Loss = 5.2944e-01, PNorm = 36.6526, GNorm = 0.3335, lr_0 = 1.0000e-03
Loss = 5.1069e-01, PNorm = 36.6684, GNorm = 0.1576, lr_0 = 1.0000e-03
Loss = 5.1002e-01, PNorm = 36.6843, GNorm = 0.1666, lr_0 = 1.0000e-03
Loss = 4.9340e-01, PNorm = 36.7002, GNorm = 0.4072, lr_0 = 1.0000e-03
Loss = 4.7941e-01, PNorm = 36.7164, GNorm = 0.2100, lr_0 = 1.0000e-03
Loss = 5.1915e-01, PNorm = 36.7323, GNorm = 0.4104, lr_0 = 1.0000e-03
Loss = 5.1717e-01, PNorm = 36.7484, GNorm = 0.2927, lr_0 = 1.0000e-03
Loss = 5.0891e-01, PNorm = 36.7645, GNorm = 0.1672, lr_0 = 1.0000e-03
Loss = 4.6578e-01, PNorm = 36.7811, GNorm = 0.3447, lr_0 = 1.0000e-03
Loss = 5.0065e-01, PNorm = 36.7989, GNorm = 0.1288, lr_0 = 1.0000e-03
Loss = 5.3785e-01, PNorm = 36.8169, GNorm = 0.1953, lr_0 = 1.0000e-03
Loss = 4.9241e-01, PNorm = 36.8354, GNorm = 0.1643, lr_0 = 1.0000e-03
Loss = 4.7574e-01, PNorm = 36.8538, GNorm = 0.1569, lr_0 = 1.0000e-03
Validation auc = 0.844560
round 0 best train auc = 0.874876 on epoch 9
round 0 best validation auc = 0.844560 on epoch 9
Epoch 10
Loss = 5.2067e-01, PNorm = 36.8718, GNorm = 0.3364, lr_0 = 1.0000e-03
Loss = 3.9669e-01, PNorm = 41.1575, GNorm = 0.2523, lr_0 = 1.0000e-03
Loss = 5.0767e-01, PNorm = 36.8896, GNorm = 0.1752, lr_0 = 1.0000e-03
Loss = 4.3486e-01, PNorm = 41.1783, GNorm = 0.6244, lr_0 = 1.0000e-03
Loss = 5.0214e-01, PNorm = 36.9081, GNorm = 0.3792, lr_0 = 1.0000e-03
Loss = 4.3472e-01, PNorm = 41.1981, GNorm = 0.5673, lr_0 = 1.0000e-03
Loss = 5.1755e-01, PNorm = 36.9248, GNorm = 0.3355, lr_0 = 1.0000e-03
Loss = 4.1993e-01, PNorm = 41.2191, GNorm = 0.2214, lr_0 = 1.0000e-03
Loss = 4.5689e-01, PNorm = 36.9410, GNorm = 0.2262, lr_0 = 1.0000e-03
Loss = 4.2861e-01, PNorm = 41.2395, GNorm = 0.6510, lr_0 = 1.0000e-03
Loss = 4.9241e-01, PNorm = 36.9577, GNorm = 0.2284, lr_0 = 1.0000e-03
Loss = 4.0866e-01, PNorm = 41.2607, GNorm = 0.5124, lr_0 = 1.0000e-03
Loss = 4.9538e-01, PNorm = 36.9748, GNorm = 0.3013, lr_0 = 1.0000e-03
Loss = 4.0183e-01, PNorm = 41.2820, GNorm = 0.3262, lr_0 = 1.0000e-03
Loss = 5.1461e-01, PNorm = 36.9915, GNorm = 0.5734, lr_0 = 1.0000e-03
Loss = 4.4048e-01, PNorm = 41.3028, GNorm = 0.4153, lr_0 = 1.0000e-03
Loss = 5.0431e-01, PNorm = 37.0088, GNorm = 0.2674, lr_0 = 1.0000e-03
Loss = 4.4318e-01, PNorm = 41.3243, GNorm = 0.6177, lr_0 = 1.0000e-03
Loss = 4.8427e-01, PNorm = 37.0260, GNorm = 0.1894, lr_0 = 1.0000e-03
Loss = 4.0789e-01, PNorm = 41.3460, GNorm = 0.1786, lr_0 = 1.0000e-03
Loss = 4.9514e-01, PNorm = 37.0434, GNorm = 0.3842, lr_0 = 1.0000e-03
Loss = 4.2180e-01, PNorm = 41.3676, GNorm = 0.2072, lr_0 = 1.0000e-03
Loss = 5.1309e-01, PNorm = 37.0600, GNorm = 0.1799, lr_0 = 1.0000e-03
Loss = 4.0074e-01, PNorm = 41.3905, GNorm = 0.4184, lr_0 = 1.0000e-03
Loss = 5.0814e-01, PNorm = 37.0766, GNorm = 0.1763, lr_0 = 1.0000e-03
Loss = 4.5304e-01, PNorm = 41.4126, GNorm = 0.4254, lr_0 = 1.0000e-03
Loss = 4.9107e-01, PNorm = 37.0940, GNorm = 0.1755, lr_0 = 1.0000e-03
Loss = 4.3620e-01, PNorm = 41.4343, GNorm = 0.2657, lr_0 = 1.0000e-03
Loss = 4.9944e-01, PNorm = 37.1125, GNorm = 0.2318, lr_0 = 1.0000e-03
Loss = 4.5108e-01, PNorm = 41.4545, GNorm = 0.5330, lr_0 = 1.0000e-03
Loss = 4.9081e-01, PNorm = 37.1313, GNorm = 0.1860, lr_0 = 1.0000e-03
Loss = 4.1015e-01, PNorm = 41.4745, GNorm = 0.1850, lr_0 = 1.0000e-03
Loss = 5.0260e-01, PNorm = 37.1489, GNorm = 0.3448, lr_0 = 1.0000e-03
Loss = 4.2709e-01, PNorm = 41.4934, GNorm = 0.2455, lr_0 = 1.0000e-03
Loss = 4.6435e-01, PNorm = 37.1663, GNorm = 0.2440, lr_0 = 1.0000e-03
Loss = 4.1606e-01, PNorm = 41.5129, GNorm = 0.2493, lr_0 = 1.0000e-03
Loss = 5.4080e-01, PNorm = 37.1831, GNorm = 0.4584, lr_0 = 1.0000e-03
Loss = 4.1161e-01, PNorm = 41.5327, GNorm = 0.2419, lr_0 = 1.0000e-03
Loss = 4.0416e-01, PNorm = 41.5524, GNorm = 0.3600, lr_0 = 1.0000e-03
Loss = 3.5024e-01, PNorm = 41.5725, GNorm = 0.1861, lr_0 = 1.0000e-03
Loss = 4.3295e-01, PNorm = 41.5922, GNorm = 0.3273, lr_0 = 1.0000e-03
Loss = 4.4766e-01, PNorm = 41.6115, GNorm = 0.2209, lr_0 = 1.0000e-03
Loss = 4.1260e-01, PNorm = 41.6300, GNorm = 0.6167, lr_0 = 1.0000e-03
Loss = 3.9834e-01, PNorm = 41.6489, GNorm = 0.3987, lr_0 = 1.0000e-03
Loss = 4.0502e-01, PNorm = 41.6692, GNorm = 0.5270, lr_0 = 1.0000e-03
Loss = 4.3135e-01, PNorm = 41.6897, GNorm = 0.2554, lr_0 = 1.0000e-03
Loss = 4.0479e-01, PNorm = 41.7102, GNorm = 0.2975, lr_0 = 1.0000e-03
Validation auc = 0.835629
round 0 best train auc = 0.850307 on epoch 6
round 0 best validation auc = 0.835629 on epoch 6
Epoch 7
Loss = 4.1410e-01, PNorm = 41.7302, GNorm = 0.3765, lr_0 = 1.0000e-03
Loss = 4.3716e-01, PNorm = 38.6916, GNorm = 0.2177, lr_0 = 1.0000e-03
Loss = 4.4964e-01, PNorm = 41.7492, GNorm = 0.2507, lr_0 = 1.0000e-03
Loss = 4.7680e-01, PNorm = 38.7105, GNorm = 0.4580, lr_0 = 1.0000e-03
Loss = 4.5006e-01, PNorm = 41.7674, GNorm = 0.6146, lr_0 = 1.0000e-03
Loss = 4.5299e-01, PNorm = 38.7299, GNorm = 0.2010, lr_0 = 1.0000e-03
Loss = 4.1961e-01, PNorm = 41.7867, GNorm = 0.2287, lr_0 = 1.0000e-03
Loss = 4.3556e-01, PNorm = 38.7502, GNorm = 0.1845, lr_0 = 1.0000e-03
Loss = 4.4036e-01, PNorm = 41.8050, GNorm = 0.4021, lr_0 = 1.0000e-03
Loss = 4.4851e-01, PNorm = 38.7709, GNorm = 0.5497, lr_0 = 1.0000e-03
Loss = 4.2977e-01, PNorm = 41.8233, GNorm = 0.3605, lr_0 = 1.0000e-03
Loss = 4.6505e-01, PNorm = 38.7918, GNorm = 0.2118, lr_0 = 1.0000e-03
Loss = 4.0376e-01, PNorm = 41.8423, GNorm = 0.2934, lr_0 = 1.0000e-03
Loss = 4.7804e-01, PNorm = 38.8130, GNorm = 0.4057, lr_0 = 1.0000e-03
Loss = 4.3640e-01, PNorm = 41.8610, GNorm = 0.6223, lr_0 = 1.0000e-03
Loss = 4.2829e-01, PNorm = 38.8335, GNorm = 0.1934, lr_0 = 1.0000e-03
Loss = 3.7945e-01, PNorm = 41.8810, GNorm = 0.3253, lr_0 = 1.0000e-03
Loss = 4.6230e-01, PNorm = 38.8535, GNorm = 0.2290, lr_0 = 1.0000e-03
Loss = 3.9160e-01, PNorm = 41.9021, GNorm = 0.2462, lr_0 = 1.0000e-03
Loss = 4.2273e-01, PNorm = 41.9221, GNorm = 0.4541, lr_0 = 1.0000e-03
Loss = 4.6373e-01, PNorm = 38.8733, GNorm = 0.2310, lr_0 = 1.0000e-03
Loss = 4.6711e-01, PNorm = 41.9405, GNorm = 0.4476, lr_0 = 1.0000e-03
Loss = 4.5730e-01, PNorm = 38.8926, GNorm = 0.2429, lr_0 = 1.0000e-03
Loss = 4.3561e-01, PNorm = 38.9114, GNorm = 0.2379, lr_0 = 1.0000e-03
Loss = 4.5672e-01, PNorm = 38.9304, GNorm = 0.2425, lr_0 = 1.0000e-03
Loss = 4.4139e-01, PNorm = 38.9498, GNorm = 0.3118, lr_0 = 1.0000e-03
Loss = 4.6010e-01, PNorm = 38.9693, GNorm = 0.2228, lr_0 = 1.0000e-03
Loss = 4.4002e-01, PNorm = 38.9886, GNorm = 0.3413, lr_0 = 1.0000e-03
Loss = 4.6151e-01, PNorm = 39.0081, GNorm = 0.2166, lr_0 = 1.0000e-03
Loss = 4.4823e-01, PNorm = 39.0282, GNorm = 0.4622, lr_0 = 1.0000e-03
Loss = 4.6821e-01, PNorm = 39.0486, GNorm = 0.3328, lr_0 = 1.0000e-03
Loss = 4.2409e-01, PNorm = 39.0681, GNorm = 0.4267, lr_0 = 1.0000e-03
Loss = 4.6237e-01, PNorm = 39.0853, GNorm = 0.7349, lr_0 = 1.0000e-03
Loss = 4.9194e-01, PNorm = 39.1039, GNorm = 0.7248, lr_0 = 1.0000e-03
Loss = 4.2633e-01, PNorm = 39.1231, GNorm = 0.2390, lr_0 = 1.0000e-03
Loss = 4.6436e-01, PNorm = 39.1432, GNorm = 0.2772, lr_0 = 1.0000e-03
Loss = 4.1931e-01, PNorm = 39.1632, GNorm = 0.3189, lr_0 = 1.0000e-03
Loss = 4.5392e-01, PNorm = 39.1844, GNorm = 0.2772, lr_0 = 1.0000e-03
Loss = 4.4566e-01, PNorm = 39.2060, GNorm = 0.2388, lr_0 = 1.0000e-03
Loss = 4.6520e-01, PNorm = 39.2277, GNorm = 0.2433, lr_0 = 1.0000e-03
Loss = 4.7936e-01, PNorm = 39.2477, GNorm = 0.4903, lr_0 = 1.0000e-03
Loss = 4.5230e-01, PNorm = 39.2672, GNorm = 0.3232, lr_0 = 1.0000e-03
Loss = 4.6494e-01, PNorm = 39.2865, GNorm = 0.4737, lr_0 = 1.0000e-03
Loss = 4.9522e-01, PNorm = 39.3053, GNorm = 0.2580, lr_0 = 1.0000e-03
Loss = 4.3823e-01, PNorm = 39.3238, GNorm = 0.3894, lr_0 = 1.0000e-03
Validation auc = 0.806869
round 0 best train auc = 0.824350 on epoch 4
round 0 best validation auc = 0.806869 on epoch 4
Epoch 5
Loss = 4.7798e-01, PNorm = 39.3427, GNorm = 0.4783, lr_0 = 1.0000e-03
Loss = 5.2256e-01, PNorm = 37.2012, GNorm = 0.2994, lr_0 = 1.0000e-03
Loss = 4.3558e-01, PNorm = 39.3618, GNorm = 0.3550, lr_0 = 1.0000e-03
Loss = 5.4068e-01, PNorm = 37.2194, GNorm = 0.5746, lr_0 = 1.0000e-03
Loss = 4.6529e-01, PNorm = 39.3817, GNorm = 0.2135, lr_0 = 1.0000e-03
Loss = 4.6958e-01, PNorm = 37.2377, GNorm = 0.2953, lr_0 = 1.0000e-03
Loss = 4.4119e-01, PNorm = 39.4002, GNorm = 0.5700, lr_0 = 1.0000e-03
Loss = 4.8637e-01, PNorm = 37.2559, GNorm = 0.4507, lr_0 = 1.0000e-03
Loss = 4.6204e-01, PNorm = 39.4183, GNorm = 0.2158, lr_0 = 1.0000e-03
Loss = 5.0609e-01, PNorm = 37.2716, GNorm = 0.5843, lr_0 = 1.0000e-03
Loss = 4.8859e-01, PNorm = 37.2883, GNorm = 0.2701, lr_0 = 1.0000e-03
Loss = 4.8852e-01, PNorm = 39.4368, GNorm = 0.4833, lr_0 = 1.0000e-03
Loss = 4.5763e-01, PNorm = 39.4547, GNorm = 0.2915, lr_0 = 1.0000e-03
Loss = 4.6259e-01, PNorm = 37.3063, GNorm = 0.3658, lr_0 = 1.0000e-03
Loss = 4.9799e-01, PNorm = 37.3247, GNorm = 0.1510, lr_0 = 1.0000e-03
Loss = 4.7721e-01, PNorm = 37.3434, GNorm = 0.2194, lr_0 = 1.0000e-03
Loss = 4.5342e-01, PNorm = 37.3625, GNorm = 0.2190, lr_0 = 1.0000e-03
Loss = 4.9560e-01, PNorm = 37.3808, GNorm = 0.3362, lr_0 = 1.0000e-03
Loss = 5.1800e-01, PNorm = 37.3998, GNorm = 0.2085, lr_0 = 1.0000e-03
Loss = 4.8362e-01, PNorm = 37.4189, GNorm = 0.3970, lr_0 = 1.0000e-03
Loss = 4.7775e-01, PNorm = 37.4388, GNorm = 0.4753, lr_0 = 1.0000e-03
Loss = 5.0393e-01, PNorm = 37.4582, GNorm = 0.3438, lr_0 = 1.0000e-03
Loss = 4.7562e-01, PNorm = 37.4779, GNorm = 0.3016, lr_0 = 1.0000e-03
Loss = 4.6239e-01, PNorm = 37.4980, GNorm = 0.1615, lr_0 = 1.0000e-03
Loss = 4.8232e-01, PNorm = 37.5181, GNorm = 0.2260, lr_0 = 1.0000e-03
Loss = 4.8983e-01, PNorm = 37.5380, GNorm = 0.1859, lr_0 = 1.0000e-03
Loss = 5.1977e-01, PNorm = 37.5575, GNorm = 0.6135, lr_0 = 1.0000e-03
Loss = 4.4883e-01, PNorm = 37.5778, GNorm = 0.4566, lr_0 = 1.0000e-03
Validation auc = 0.850697
round 0 best train auc = 0.888563 on epoch 10
round 0 best validation auc = 0.850697 on epoch 10
Epoch 11
Loss = 5.1638e-01, PNorm = 37.5967, GNorm = 0.7642, lr_0 = 1.0000e-03
Loss = 3.7466e-01, PNorm = 41.9580, GNorm = 0.3392, lr_0 = 1.0000e-03
Loss = 4.6425e-01, PNorm = 37.6154, GNorm = 0.4236, lr_0 = 1.0000e-03
Loss = 4.1480e-01, PNorm = 41.9763, GNorm = 0.2297, lr_0 = 1.0000e-03
Loss = 4.5858e-01, PNorm = 37.6335, GNorm = 0.2403, lr_0 = 1.0000e-03
Loss = 4.2018e-01, PNorm = 41.9955, GNorm = 0.8279, lr_0 = 1.0000e-03
Loss = 4.7167e-01, PNorm = 37.6526, GNorm = 0.3907, lr_0 = 1.0000e-03
Loss = 4.1619e-01, PNorm = 42.0141, GNorm = 0.2538, lr_0 = 1.0000e-03
Loss = 4.9211e-01, PNorm = 37.6710, GNorm = 0.1986, lr_0 = 1.0000e-03
Loss = 4.8712e-01, PNorm = 42.0320, GNorm = 0.8370, lr_0 = 1.0000e-03
Loss = 5.1239e-01, PNorm = 37.6898, GNorm = 0.2524, lr_0 = 1.0000e-03
Loss = 4.0223e-01, PNorm = 42.0510, GNorm = 0.3022, lr_0 = 1.0000e-03
Loss = 4.5513e-01, PNorm = 37.7095, GNorm = 0.2760, lr_0 = 1.0000e-03
Loss = 4.4405e-01, PNorm = 42.0708, GNorm = 0.3250, lr_0 = 1.0000e-03
Loss = 4.8278e-01, PNorm = 37.7289, GNorm = 0.3513, lr_0 = 1.0000e-03
Loss = 4.0699e-01, PNorm = 42.0905, GNorm = 0.6424, lr_0 = 1.0000e-03
Loss = 4.8837e-01, PNorm = 37.7478, GNorm = 0.1979, lr_0 = 1.0000e-03
Loss = 3.9447e-01, PNorm = 42.1107, GNorm = 0.1928, lr_0 = 1.0000e-03
Loss = 4.6845e-01, PNorm = 37.7657, GNorm = 0.2148, lr_0 = 1.0000e-03
Loss = 3.7364e-01, PNorm = 42.1303, GNorm = 0.2382, lr_0 = 1.0000e-03
Loss = 4.8997e-01, PNorm = 37.7838, GNorm = 0.2700, lr_0 = 1.0000e-03
Loss = 4.1405e-01, PNorm = 42.1491, GNorm = 0.5735, lr_0 = 1.0000e-03
Loss = 4.9050e-01, PNorm = 37.8016, GNorm = 0.4501, lr_0 = 1.0000e-03
Loss = 3.9461e-01, PNorm = 42.1680, GNorm = 0.3433, lr_0 = 1.0000e-03
Loss = 4.7198e-01, PNorm = 37.8202, GNorm = 0.1778, lr_0 = 1.0000e-03
Loss = 4.0793e-01, PNorm = 42.1871, GNorm = 0.2387, lr_0 = 1.0000e-03
Loss = 4.1859e-01, PNorm = 42.2060, GNorm = 0.5598, lr_0 = 1.0000e-03
Loss = 4.8977e-01, PNorm = 37.8389, GNorm = 0.2611, lr_0 = 1.0000e-03
Loss = 4.3995e-01, PNorm = 42.2247, GNorm = 0.5386, lr_0 = 1.0000e-03
Loss = 4.4944e-01, PNorm = 37.8579, GNorm = 0.1699, lr_0 = 1.0000e-03
Loss = 4.3537e-01, PNorm = 42.2432, GNorm = 0.4819, lr_0 = 1.0000e-03
Loss = 4.6740e-01, PNorm = 37.8774, GNorm = 0.2357, lr_0 = 1.0000e-03
Loss = 3.4923e-01, PNorm = 42.2612, GNorm = 0.2858, lr_0 = 1.0000e-03
Loss = 3.8460e-01, PNorm = 42.2804, GNorm = 0.4109, lr_0 = 1.0000e-03
Loss = 4.8014e-01, PNorm = 37.8974, GNorm = 0.6247, lr_0 = 1.0000e-03
Loss = 5.0494e-01, PNorm = 37.9172, GNorm = 0.2712, lr_0 = 1.0000e-03
Loss = 3.6210e-01, PNorm = 42.3004, GNorm = 0.1908, lr_0 = 1.0000e-03
Loss = 4.9026e-01, PNorm = 37.9351, GNorm = 0.3579, lr_0 = 1.0000e-03
Loss = 4.2157e-01, PNorm = 42.3205, GNorm = 0.4163, lr_0 = 1.0000e-03
Loss = 3.9381e-01, PNorm = 42.3406, GNorm = 0.4407, lr_0 = 1.0000e-03
Loss = 3.7691e-01, PNorm = 42.3607, GNorm = 0.3701, lr_0 = 1.0000e-03
Loss = 4.2854e-01, PNorm = 42.3808, GNorm = 0.8120, lr_0 = 1.0000e-03
Loss = 3.6941e-01, PNorm = 42.4008, GNorm = 0.3947, lr_0 = 1.0000e-03
Loss = 4.2316e-01, PNorm = 42.4197, GNorm = 0.3366, lr_0 = 1.0000e-03
Loss = 4.0724e-01, PNorm = 42.4390, GNorm = 0.2445, lr_0 = 1.0000e-03
Loss = 4.0251e-01, PNorm = 42.4579, GNorm = 0.4296, lr_0 = 1.0000e-03
Loss = 4.0917e-01, PNorm = 42.4773, GNorm = 0.2245, lr_0 = 1.0000e-03
Loss = 3.8871e-01, PNorm = 42.4963, GNorm = 0.2930, lr_0 = 1.0000e-03
Loss = 4.2411e-01, PNorm = 42.5162, GNorm = 0.3606, lr_0 = 1.0000e-03
Loss = 4.0509e-01, PNorm = 42.5366, GNorm = 0.3980, lr_0 = 1.0000e-03
Validation auc = 0.844475
round 0 best train auc = 0.858229 on epoch 7
round 0 best validation auc = 0.844475 on epoch 7
Epoch 8
Loss = 4.4381e-01, PNorm = 42.5563, GNorm = 0.2543, lr_0 = 1.0000e-03
Loss = 4.2474e-01, PNorm = 39.4737, GNorm = 0.3760, lr_0 = 1.0000e-03
Loss = 3.8588e-01, PNorm = 42.5764, GNorm = 0.2561, lr_0 = 1.0000e-03
Loss = 4.2202e-01, PNorm = 39.4934, GNorm = 0.1696, lr_0 = 1.0000e-03
Loss = 4.0116e-01, PNorm = 42.5963, GNorm = 0.2742, lr_0 = 1.0000e-03
Loss = 4.2231e-01, PNorm = 39.5135, GNorm = 0.2087, lr_0 = 1.0000e-03
Loss = 3.9083e-01, PNorm = 42.6159, GNorm = 0.2631, lr_0 = 1.0000e-03
Loss = 4.0915e-01, PNorm = 42.6361, GNorm = 0.4184, lr_0 = 1.0000e-03
Loss = 4.7630e-01, PNorm = 39.5328, GNorm = 0.4076, lr_0 = 1.0000e-03
Loss = 4.2661e-01, PNorm = 42.6552, GNorm = 0.3760, lr_0 = 1.0000e-03
Loss = 4.3636e-01, PNorm = 39.5523, GNorm = 0.2184, lr_0 = 1.0000e-03
Loss = 4.1642e-01, PNorm = 42.6724, GNorm = 0.5779, lr_0 = 1.0000e-03
Loss = 4.5494e-01, PNorm = 39.5734, GNorm = 0.4499, lr_0 = 1.0000e-03
Loss = 3.9976e-01, PNorm = 42.6901, GNorm = 0.4242, lr_0 = 1.0000e-03
